UniversityName,Website,State,CostOnCampusOutOfState,CostOnCampusInState,CostOffCampusOutOfState,CostOffCampusInState,PercentAdmitted,UndergradEnrollment,NumAssociate,NumBachelor,SATReadWrite,SATMath,ACTComposite,GrandTotalUndergrad,ProgramEducation,ProgramEngineering,ProgramScience,ProgramMath,ProgramPhysicalScience,ProgramBusiness
Columbus College of Art and Design,WWW.CCAD.EDU,OH,49834,49834,41420,41420,88,1032,0,217,,,,1061,,,,,,
Columbus State Community College,www.cscc.edu/,OH,,,12707,8085,,27343,2516,,,,,46553,,,,,,
Columbus State University,www.columbusstate.edu,GA,32532,21746,22470,11684,56,6640,39,1016,450,420,18,8072,495,102,362,67,165,1032
Columbus Technical College,https://www.columbustech.edu/,GA,,,10003,7867,,3301,277,,,,,4566,,,,,,
Commonwealth Institute of Funeral Service,www.commonwealth.edu,TX,,,17034,17034,,205,93,,,,,341,,,,,,
Commonwealth Technical Institute,www.dli.pa.gov,PA,32145,32145,18453,18453,,175,55,,,,,373,,,,,,
Community Care College,www.communitycarecollege.edu,OK,,,,,,578,57,,,,,974,,,,,,
Community Christian College,https://www.cccollege.edu,CA,,,13758,13758,,75,6,,,,,127,,,,,,
Community College of Allegheny County,https://www.ccac.edu,PA,,,17601,14211,,16086,1892,,,,,26337,,,,,,
Community College of Aurora,www.ccaurora.edu,CO,,,22015,10927,,7981,645,,,,,11777,,,,,,
Community College of Baltimore County,www.ccbcmd.edu,MD,,,15312,12218,,18830,2120,,,,,27792,,,,,,
Community College of Beaver County,www.ccbc.edu,PA,,,20262,14802,,2254,313,,,,,3248,,,,,,
Community College of Denver,www.ccd.edu,CO,,,22967,11887,,7887,765,21,,,,12230,115,,,,,700
Community College of Philadelphia,www.ccp.edu,PA,,,19196,14054,,16672,1709,,,,,24443,,,,,,
Community College of Rhode Island,www.ccri.edu,RI,,,17989,10397,,14539,1928,,,,,19389,,,,,,
Community College of Vermont,www.ccv.edu,VT,,,20922,13952,,5378,506,,,,,9871,,,,,,
Community Services Division-Alliance City,www.accrtw.org,OH,,,,,,87,0,,,,,139,,,,,,
Community Technology Learning Center of Portage,www.cacportage.net,OH,,,,,,1,0,,,,,,,,,,,
Compass Career College,www.compasscareercollege.net,LA,,,,,,226,0,,,,,364,,,,,,
Compass College of Cinematic Arts,compass.edu,MI,,,23550,23550,68,129,11,14,,,,154,,,,,,
Compton College,www.compton.edu,CA,,,12494,7310,,7046,495,,,,,12108,,,,,,
Compu-Med Vocational Careers Corp,compumed.edu,FL,,,,,,304,0,,,,,732,,,,,,
Conception Seminary College,www.conception.edu,MO,38200,38200,,,100,64,0,15,,,21,78,,,,,,
Concord University,www.concord.edu,WV,30687,21243,21699,12255,89,1729,0,363,460,460,18,2175,314,,205,46,58,325
Concorde Career College-Aurora,https://www.concorde.edu/campus/aurora-colorado,CO,,,,,73,778,122,,,,,1351,,,,,,
Concorde Career College-Dallas,https://www.concorde.edu/campus/dallas-texas,TX,,,,,78,701,100,,,,,1228,,,,,,
Concorde Career College-Garden Grove,https://www.concorde.edu/campus/garden-grove-california,CA,,,,,97,609,105,,,,,901,,,,,,
Concorde Career College-Grand Prairie,https://www.concorde.edu/campus/grand-prairie-texas,TX,,,,,97,835,43,,,,,1275,,,,,,
Concorde Career College-Kansas City,https://www.concorde.edu/campus/kansas-city-missouri,MO,,,,,95,606,84,6,,,,966,,,,,,
Concorde Career College-Memphis,https://www.concorde.edu/campus/memphis-tennessee,TN,,,,,93,1394,195,,,,,2461,,,,,,
Concorde Career College-North Hollywood,https://www.concorde.edu/campus/north-hollywood-california,CA,,,,,84,617,97,,,,,1013,,,,,,
Concorde Career College-Portland,https://www.concorde.edu/campus/portland-oregon,OR,,,,,88,446,35,,,,,932,,,,,,
Concorde Career College-San Antonio,https://www.concorde.edu/campus/san-antonio-texas,TX,,,,,92,676,72,,,,,1173,,,,,,
Concorde Career College-San Bernardino,https://www.concorde.edu/campus/san-bernardino-california,CA,,,,,80,737,101,,,,,1157,,,,,,
Concorde Career College-San Diego,https://www.concorde.edu/campus/san-diego-california,CA,,,,,91,664,117,,,,,1049,,,,,,
Concorde Career College-Southaven,https://www.concorde.edu/campus/southaven-mississippi,MS,,,,,100,345,1,,,,,633,,,,,,
Concorde Career Institute-Jacksonville,https://www.concorde.edu/campus/jacksonville-florida,FL,,,,,72,704,79,,,,,1042,,,,,,
Concorde Career Institute-Miramar,https://www.concorde.edu/campus/miramar-florida?SourceID=GOBRND&opti_ca=184111063&opti_ag=12068405503&opti_ad=229977911707&opti_key=kwd-11641010364&gc,FL,,,,,75,559,106,,,,,951,,,,,,
Concorde Career Institute-Orlando,https://www.concorde.edu/campus/orlando-florida,FL,,,,,72,462,56,,,,,763,,,,,,
Concorde Career Institute-Tampa,https://www.concorde.edu/campus/tampa-florida,FL,,,,,91,488,70,,,,,898,,,,,,
Concordia College Alabama,,AL,,,,,,,,,,,,,,,,,,
Concordia College at Moorhead,https://www.concordiacollege.edu,MN,51798,51798,42948,42948,61,2097,0,426,530,550,21,2083,322,,328,88,137,434
Concordia College-New York,www.concordia-ny.edu,NY,48220,48220,36080,36080,81,1226,4,205,480,470,20,1237,66,,57,,,185
Concordia Seminary,www.csl.edu,MO,,,,,,0,0,0,,,,,,,,,,
Concordia Theological Seminary,www.ctsfw.edu,IN,,,,,,0,0,0,,,,,,,,,,
Concordia University Texas,www.concordia.edu,TX,47244,47244,36224,36224,91,1746,0,295,470,470,18,2017,101,,86,16,3,434
Concordia University-Ann Arbor,https://www.cuaa.edu,MI,44150,44150,38040,38040,49,999,0,88,,,19,977,136,,47,8,,130
Concordia University-Chicago,www.cuchicago.edu,IL,44426,44426,34978,34978,76,1511,0,371,500,490,20,1512,183,,37,13,,258
Concordia University-Irvine,www.cui.edu,CA,51930,51930,41840,41840,62,1788,0,480,520,510,20,2046,,,104,18,39,396
Concordia University-Nebraska,www.cune.edu,NE,44110,44110,35640,35640,68,1836,0,267,460,430,20,2064,377,,139,15,32,169
Concordia University-Portland,www.cu-portland.edu,OR,44078,44078,34858,34858,60,1501,0,281,500,490,18,1711,174,,93,,12,177
Concordia University-Saint Paul,https://www.csp.edu,MN,35275,35275,26275,26275,97,3104,5,760,,,,3619,184,,68,20,8,780
Concordia University-Wisconsin,https://www.cuw.edu,WI,44850,44850,38100,38100,65,3493,12,609,,,20,3988,321,,208,4,27,841
Conlee's College of Cosmetology,www.conleescosmo.com/,TX,,,,,,17,0,,,,,30,,,,,,
Connecticut College,www.conncoll.edu,CT,71970,71970,56820,56820,38,1844,0,424,650,640,30,1891,,,130,14,26,
Connors State College,www.connorsstate.edu,OK,22006,18196,14257,10447,,2090,333,,,,,2981,,,,,,
Conservatory of Recording Arts and Sciences,www.cras.edu,AZ,,,,,,568,0,,,,,836,,,,,,
Construction Training Center,www.constructiontrainingcenter.org,SC,,,,,,22,0,,,,,94,,,,,,
Continental Academie of Hair Design-Hudson,continentalacademie.com,NH,,,,,,36,0,,,,,55,,,,,,
Continental School of Beauty Culture-Batavia,www.continentalschoolofbeauty.edu,NY,,,,,,,,,,,,,,,,,,
Continental School of Beauty Culture-Buffalo,continentalschoolofbeauty.edu,NY,,,,,,,,,,,,,,,,,,
Continental School of Beauty Culture-Mattydale,continentalschoolofbeauty.edu,NY,,,,,,247,0,,,,,434,,,,,,
Continental School of Beauty Culture-Olean,continentalschoolofbeauty.edu,NY,,,,,,39,0,,,,,95,,,,,,
Continental School of Beauty Culture-Rochester,continentalschoolofbeauty.edu,NY,,,,,,335,0,,,,,588,,,,,,
Continental School of Beauty Culture-West Seneca,continentalschoolofbeauty.edu,NY,,,,,,129,0,,,,,208,,,,,,
Continents Academy,https://www.continents.us/,OH,,,,,,,0,,,,,15,,,,,,
Contra Costa College,www.contracosta.edu,CA,,,14732,7480,,7193,590,,,,,10505,,,,,,
Contra Costa Community College District Office,www.4cd.edu/default.aspx,CA,,,,,,,,,,,,,,,,,,
Contra Costa Medical Career College,www.ccmcc.edu,CA,,,,,,963,0,,,,,749,,,,,,
Converse College,www.converse.edu/,SC,34230,34230,24710,24710,59,893,0,169,530,510,20,979,144,,62,20,9,61
Conway School of Landscape Design,www.csld.edu,MA,,,,,,0,0,0,,,,,,,,,,
Cooper Union for the Advancement of Science and Art,www.cooper.edu,NY,66313,66313,49675,49675,16,858,0,209,630,653,31,896,,467,,,,
Copiah-Lincoln Community College,www.colin.edu,MS,13230,11230,9880,7880,,3094,738,,,,,3910,,,,,,
Copper Mountain Community College,www.cmccd.edu,CA,,,14954,7394,,1748,190,,,,,2442,,,,,,
Coppin State University,www.coppin.edu,MD,29603,23332,19630,13359,38,2362,0,399,450,430,16,2879,164,,115,24,,250
Corban University,www.corban.edu,OR,46350,46350,35840,35840,91,1048,3,185,510,520,20,1097,214,,,8,,200
Corinth Academy of Cosmetology,corinthacademyofcosmetology.net,MS,,,,,,114,0,,,,,121,,,,,,
Cornell College,www.cornellcollege.edu,IA,58381,58381,48997,48997,61,1028,0,220,540,540,23,1058,53,7,70,12,31,63
Cornell University,www.cornell.edu,NY,73904,73904,59138,59138,11,15182,0,3665,680,710,32,15222,,2822,1783,168,218,1863
Cornerstone University,www.cornerstone.edu,MI,36772,36772,27472,27472,73,1625,32,437,480,470,19,2076,156,15,28,6,,464
Corning Community College,https://www.corning-cc.edu/,NY,22552,17842,13452,8742,,3424,486,,,,,5147,,,,,,
Cornish College of the Arts,www.cornish.edu,WA,59442,59442,46242,46242,77,625,0,120,,,,672,,,,,,
Cortiva Institute-Arlington,www.texasmassagetherapy.com/,TX,,,,,,162,0,,,,,375,,,,,,
Cortiva Institute-Aurora,www.steinered.com/,CO,,,,,,92,0,,,,,268,,,,,,
Cortiva Institute-Baltimore,www.steinered.com,MD,,,,,,335,0,,,,,717,,,,,,
Cortiva Institute-Chicago,www.cortiva.com,IL,,,,,,180,0,,,,,385,,,,,,
Cortiva Institute-Dallas,www.texasmassagetherapy.com,TX,,,,,,210,0,,,,,430,,,,,,
Cortiva Institute-Florida,www.cortiva.com,FL,,,,,,173,0,,,,,294,,,,,,
Cortiva Institute-Groton,www.ccmt.edu,CT,,,,,,95,0,,,,,159,,,,,,
Cortiva Institute-Houston,www.texasmassagetherapy.com,TX,,,,,,199,0,,,,,412,,,,,,
Cortiva Institute-King of Prussia,www.cortiva.com,PA,,,,,,128,0,,,,,296,,,,,,
Cortiva Institute-Las Vegas,www.steinered.com/,NV,,,,,,229,0,,,,,527,,,,,,
Cortiva Institute-Maitland,www.steinered.com/,FL,,,,,,319,0,,,,,649,,,,,,
Cortiva Institute-Miami,www.steinered.com/,FL,,,,,,109,0,,,,,234,,,,,,
Cortiva Institute-New Jersey,https://www.cortiva.com,NJ,,,16857,16857,,28,0,,,,,77,,,,,,
Cortiva Institute-Newington,www.ccmt.edu/programs.html,CT,,,,,,231,0,,,,,402,,,,,,
Cortiva Institute-Orem,www.steinered.com,UT,,,,,,86,0,,,,,214,,,,,,
Cortiva Institute-Phoenix,www.steinered.com/,AZ,,,,,,286,0,,,,,557,,,,,,
Cortiva Institute-Pompano,www.steinered.com,FL,,,,,,150,0,,,,,303,,,,,,
Cortiva Institute-Salt Lake,www.steinered.com,UT,,,,,,179,0,,,,,375,,,,,,
Cortiva Institute-Scottsdale,www.cortiva.com/,AZ,,,,,,69,0,,,,,137,,,,,,
Cortiva Institute-Seattle,www.cortiva.com/seattle,WA,,,,,,119,0,,,,,216,,,,,,
Cortiva Institute-Seattle,www.cortiva.com,WA,,,,,,108,0,,,,,183,,,,,,
Cortiva Institute-Tempe,www.steinered.com/,AZ,,,,,,190,0,,,,,430,,,,,,
Cortiva Institute-Tucson,www.cortiva.com/,AZ,,,,,,99,0,,,,,161,,,,,,
Cortiva Institute-Virginia,www.steinered.com/,VA,,,,,,,0,,,,,100,,,,,,
Cortiva Institute-Westminster,www.steinered.com/,CO,,,,,,104,0,,,,,203,,,,,,
Cortiva Institute-Westport,www.ccmt.edu,CT,,,,,,119,0,,,,,237,,,,,,
Cortiva Institute-York,www.steinered.com/,PA,,,,,,65,0,,,,,135,,,,,,
Cosmetic Arts Institute,www.cosmeticartsinstitute.edu,SC,,,,,,15,0,,,,,28,,,,,,
Cosmetology & Spa Academy,www.cosmetologyandspaacademy.com,IL,,,,,,277,0,,,,,362,,,,,,
Cosmetology Academy of Texarkana,cosmetologyacademyoftexarkana.com,TX,,,,,,67,0,,,,,118,,,,,,
Cosmetology Career Center LLC,https://paulmitchell.edu/dallas/,TX,,,,,,352,0,,,,,466,,,,,,
Cosmetology Careers Unlimited College of Hair Skin and Nails,www.ccucollege.net,MN,,,,,,31,0,,,,,37,,,,,,
Cosmetology School of Arts and Science LLC,cosmetologyschoolof-art.com,ID,,,,,,23,0,,,,,52,,,,,,
Cosmetology Training Center,cosmetlafayettela.com,LA,,,,,,104,0,,,,,137,,,,,,
Cosmo Beauty Academy,www.cosmobeautyacademy.edu,CA,,,,,,96,0,,,,,165,,,,,,
Cosmo Factory Cosmetology Academy,www.thecosmofactory.com,CA,,,,,,35,0,,,,,49,,,,,,
Cossatot Community College of the University of Arkansas,www.cccua.edu/,AR,,,8759,8309,,1518,151,,,,,1983,,,,,,
Cosumnes River College,www.crc.losrios.edu/,CA,,,15075,7467,,14193,850,,,,,20320,,,,,,
Cottey College,www.cottey.edu,MO,32536,32536,24836,24836,38,271,56,36,510,460,19,284,13,,44,,,31
County College of Morris,WWW.CCM.EDU,NJ,,,17650,14350,,7556,1258,,,,,11319,,,,,,
Covenant College,www.covenant.edu,GA,47430,47430,36370,36370,97,1002,0,216,580,540,23,1062,64,,111,15,52,94
Covenant School of Nursing and Allied Health,covenanthealth.org/cson,TX,,,,,,350,0,,,,,422,,,,,,
Covenant Theological Seminary,www.covenantseminary.edu,MO,,,,,,0,0,0,,,,,,,,,,
Cowley County Community College,www.cowley.edu,KS,15870,15000,10170,9300,,2664,428,,,,,4221,,,,,,
Cox College,https://coxcollege.edu,MO,,,15444,15444,100,699,106,147,,,,977,,,,,,
Coyne College,www.coynecollege.edu,IL,,,,,,555,44,,,,,820,,,,,,
Cozmo Beauty School,www.cozmo.edu,FL,,,,,,46,0,,,,,66,,,,,,
Crafton Hills College,www.craftonhills.edu,CA,,,13279,6319,,6552,414,,,,,8833,,,,,,
Cranbrook Academy of Art,https://cranbrookart.edu/,MI,,,,,,0,0,0,,,,,,,,,,
Crave Beauty Academy,www.cravebeautyacademy.com,KS,,,,,,360,0,,,,,306,,,,,,
Craven Community College,www.cravencc.edu,NC,,,11900,7292,,3003,360,,,,,4599,,,,,,
Crawford County Career and Technical Center Practical Nursing Program,www.crawfordctc.org,PA,,,,,,26,0,,,,,28,,,,,,
Creative Hair School of Cosmetology,creativehairschool.com,MI,,,,,,31,0,,,,,60,,,,,,
Creative Images Institute of Cosmetology-North Dayton,www.creativeimages.edu,OH,,,,,,200,0,,,,,340,,,,,,
Creative Images Institute of Cosmetology-South Dayton,www.creativeimages.edu,OH,,,,,,99,0,,,,,182,,,,,,
Creative Touch Cosmetology School,www.creativetouchcollege.org,IL,,,,,,18,0,,,,,30,,,,,,
Creighton University,https://www.creighton.edu,NE,54952,54952,43716,43716,71,4446,1,1010,580,570,24,4738,27,,274,27,91,433
Crescent City Bartending School,crescent.edu,LA,,,,,,320,0,,,,,1137,,,,,,
Crevier's Academy of Cosmetology Arts,www.crevierschool.com,MT,,,,,,80,0,,,,,134,,,,,,
Criswell College,www.criswell.edu,TX,,,14879,14879,100,179,0,28,478,410,17,220,2,,,,,
Crossroads Bible College,www.crossroads.edu,IN,,,19100,19100,,157,13,25,,,,206,,,,,,
Crowder College,www.crowder.edu,MO,13823,13823,8578,8578,,4521,710,,,,,6565,,,,,,
Crowley's Ridge College,www.crc.edu/,AR,22910,22910,17560,17560,,198,6,18,,,,224,39,,,,,45
Crowley's Ridge Technical Institute,www.crti.tec.ar.us,AR,,,5950,5950,,168,0,,,,,184,,,,,,
Crown College,www.crown.edu,MN,40762,40762,33582,33582,55,1152,19,181,440,460,18,1178,68,,22,,,96
CRU Institute of Cosmetology and Barbering,www.cruinstitute.com,CA,,,,,,62,0,,,,,104,,,,,,
Cuesta College,https://www.cuesta.edu,CA,,,14984,7620,,11024,840,,,,,15212,,,,,,
Culinary Institute Inc,www.culinaryinstitute.edu,TX,,,24886,24886,,339,99,,,,,496,,,,,,
Culinary Institute of America,www.ciachef.edu,NY,48180,48180,36946,36946,98,2956,1083,337,,,,4035,,,,,,646
Culinary Tech Center,www.culinarytechcenter.edu,NY,,,,,,178,0,,,,,327,,,,,,
Culpeper Cosmetology Training Center,www.culpepercosmetology.com,VA,,,,,,26,0,,,,,49,,,,,,
Culver-Stockton College,www.culver.edu,MO,39800,39800,32712,32712,46,1022,0,223,480,470,18,1201,150,,77,7,7,197
Cumberland County College,www.cccnj.edu,NJ,,,14008,10108,,2934,601,,,,,4361,,,,,,
Cumberland University,www.cumberland.edu,TN,37990,37990,36450,36450,62,2093,107,287,470,460,19,2145,114,,170,27,,398
CUNY Bernard M Baruch College,www.baruch.cuny.edu,NY,40351,32681,20412,12742,39,15024,0,3586,590,630,,18674,,,231,232,12,11195
CUNY Borough of Manhattan Community College,www.bmcc.cuny.edu/,NY,,,13530,10650,,26506,4082,,,,,35812,,,,,,
CUNY Bronx Community College,www.bcc.cuny.edu,NY,,,13566,10686,,10519,1821,,,,,14954,,,,,,
CUNY Brooklyn College,www.brooklyn.cuny.edu,NY,,,20390,12720,44,14978,0,2863,520,540,,17859,1181,,406,144,258,2736
CUNY City College,www.ccny.cuny.edu,NY,37637,29967,20290,12620,48,13186,0,2423,510,530,,15644,654,2462,655,207,135,283
CUNY Graduate School and University Center,www.gc.cuny.edu,NY,,,,,,2287,0,535,,,,2988,,,,,,362
CUNY Hostos Community College,www.hostos.cuny.edu,NY,,,13568,10688,,7331,1227,,,,,9755,,,,,,
CUNY Hunter College,www.hunter.cuny.edu,NY,30049,22379,20332,12662,36,17212,0,3072,570,580,,20471,102,,457,166,609,420
CUNY John Jay College of Criminal Justice,www.jjay.cuny.edu,NY,42931,35261,20420,12750,41,13319,0,3087,490,490,,16119,,,85,,5,
CUNY Kingsborough Community College,www.kbcc.cuny.edu,NY,,,14374,11494,,15051,2606,,,,,20637,,,,,,
CUNY LaGuardia Community College,www.lagcc.cuny.edu,NY,,,14340,11460,,19300,3117,,,,,25259,,,,,,
CUNY Lehman College,www.lehman.cuny.edu,NY,35527,27857,20360,12690,40,12639,0,2458,490,490,,16060,81,,236,118,149,1303
CUNY Medgar Evers College,www.mec.cuny.edu,NY,,,20302,12632,,6638,588,600,,,,9167,395,,749,41,599,874
CUNY New York City College of Technology,www.citytech.cuny.edu,NY,,,20270,12600,75,17269,1481,1399,,,,20973,90,,129,93,872,1911
CUNY Queens College,www.qc.cuny.edu,NY,36577,28907,20488,12818,48,16620,0,2530,520,540,,20564,1198,,384,243,183,1387
CUNY Queensborough Community College,www.qcc.cuny.edu,NY,,,13570,10690,,15411,2303,,,,,20604,,,,,,
CUNY School of Law,www.law.cuny.edu,NY,,,,,,0,0,0,,,,,,,,,,
CUNY System Office,www2.cuny.edu/,NY,,,,,,,,,,,,,,,,,,
CUNY York College,www.york.cuny.edu,NY,,,20308,12638,53,8495,0,1205,450,440,,10586,56,,351,62,96,1054
Curry College,https://www.curry.edu,MA,58550,58550,43787,43787,93,2358,0,731,470,470,17,3013,118,,108,,,421
Curtis Institute of Music,www.curtis.edu,PA,23369,23369,13292,13292,5,130,0,26,,,,131,,,,,,
Curve Metric School of Hair Design,curvemetric.com,IL,,,,,,36,0,,,,,64,,,,,,
Cutting Edge Academy,www.cuttingedgeacademynj.com,NJ,,,,,,77,0,,,,,127,,,,,,
Cuyahoga Community College District,www.tri-c.edu,OH,,,11676,7862,,23440,2880,,,,,35558,,,,,,
Cuyahoga Valley Career Center,www.cvccworks.edu/,OH,,,,,,119,0,,,,,130,,,,,,
Cuyamaca College,www.cuyamaca.edu,CA,,,12596,6786,,8824,693,,,,,13951,,,,,,
CVPH Medical Center School of Radiologic Technology,www.cvph.org/,NY,,,,,50,8,0,,,,,20,,,,,,
CyberTex Institute of Technology,cybertex.edu,TX,,,,,,217,0,,,,,675,,,,,,
Cypress College,www.cypresscollege.edu,CA,,,12494,7476,,15794,1170,0,,,,21471,,318,6,154,453,2607
D A Dorsey Technical College,dadorsey.dadeschools.net/,FL,,,,,,117,0,,,,,266,,,,,,
D'Jay's Institute of Cosmetology and Esthiology,www.djaysschoolofbeauty.com,LA,,,,,,75,0,,,,,90,,,,,,
D'Youville College,www.dyc.edu,NY,43174,43174,30950,30950,100,1699,0,365,510,520,14,1911,,,152,5,32,85
Dabney S Lancaster Community College,www.dslcc.edu,VA,,,16253,10325,,981,125,,,,,1670,,,,,,
Daemen College,www.daemen.edu,NY,43995,43995,31080,31080,54,1739,0,487,,,,2026,74,,75,3,,233
Dakota College at Bottineau,www.dakotacollege.edu,ND,18294,16418,10814,8938,,996,90,,,,,1225,,,,,,
Dakota County Technical College,www.dctc.edu/,MN,,,12325,12325,,2523,378,,,,,3566,,,,,,
Dakota State University,dsu.edu,SD,24965,21992,18231,15258,83,2993,57,288,470,490,20,4297,291,,26,28,4,204
Dakota Wesleyan University,www.dwu.edu,SD,37840,37840,31650,31650,74,884,1,163,440,460,19,1004,101,,55,3,,133
Dallas Baptist University,https://www.dbu.edu,TX,41170,41170,35275,35275,88,3014,22,688,560,530,20,3613,193,,189,17,,763
Dallas Barber & Stylist College,www.dallasbarberandstylistcollege.com/,TX,,,,,,134,0,,,,,224,,,,,,
Dallas Christian College,www.dallas.edu,TX,33844,33844,23334,23334,29,212,3,35,408,403,17,252,18,,,,,86
Dallas County Community College District,www.dcccd.edu,TX,,,,,,,,,,,,,,,,,,
Dallas Institute of Funeral Service,https://www.dallasinstitute.edu,TX,,,14045,14045,,187,53,,,,,238,,,,,,
Dallas Nursing Institute,www.dni.edu,TX,,,,,5,225,56,0,,,,391,,,,,,
Dallas Theological Seminary,WWW.DTS.EDU,TX,,,,,,0,0,0,,,,,,,,,,
Dalton Institute of Esthetics and Cosmetology,www.daltoninstitute.com,GA,,,,,,25,0,,,,,44,,,,,,
Dalton State College,https://www.daltonstate.edu/index.cms,GA,25034,16612,18301,9879,,5118,328,447,,,,6009,196,,356,70,91,1002
Daniel Morgan Graduate School of National Security,dmgs.org/,DC,,,,,,0,0,0,,,,,,,,,,
Danville Area Community College,www.dacc.edu,IL,,,11678,11678,,2620,369,,,,,6124,,,,,,
Danville Community College,www.dcc.vccs.edu,VA,,,17038,11110,,2828,209,,,,,4260,,,,,,
Daoist Traditions College of Chinese Medical Arts,daoisttraditions.edu,NC,,,,,,0,0,0,,,,,,,,,,
Dartmouth College,www.dartmouth.edu,NH,74359,74359,,,9,4418,0,1145,700,720,31,4798,,195,173,91,62,
Davenport University,www.davenport.edu,MI,31564,31564,22770,22770,89,5329,217,1001,,,,7016,,,,,,2180
David Pressley School of Cosmetology,davidpressleyschool.com,MI,,,,,,218,0,,,,,363,,,,,,
Davidson College,www.davidson.edu/,NC,68594,68594,,,19,1843,0,469,640,650,29,1985,,,109,38,65,
Davidson County Community College,www.davidsonccc.edu,NC,,,15232,9088,,3654,530,,,,,5013,,,,,,
Davis & Elkins College,www.dewv.edu,WV,43064,43064,34568,34568,37,793,31,152,460,450,16,978,59,,42,12,13,121
Davis College,https://www.davisny.edu/,NY,27650,27650,22030,22030,42,241,7,56,,,,321,,,,,,
Davis College,www.daviscollege.edu,OH,,,22866,22866,,71,26,,,,,130,,,,,,
Davis Technical College,https://www.davistech.edu/,UT,,,,,,3162,0,,,,,5676,,,,,,
Dawn Career Institute LLC,https://www.dawncareerinstitute.edu,DE,,,,,,128,0,,,,,592,,,,,,
Dawson Community College,www.dawson.edu,MT,19245,16725,12220,9700,,413,54,,,,,651,,,,,,
Dayton Barber College,www.daytonbarbercollege.edu,OH,,,,,,48,0,,,,,65,,,,,,
Dayton School of Medical Massage,www.massageschools.com,OH,,,24679,24679,,249,0,,,,,453,,,,,,
Daytona College,daytonacollege.edu,FL,,,,,,259,9,0,,,,401,,,,,,
Daytona State College,www.DaytonaState.edu,FL,,,15517,6628,,13737,2456,437,,,,19934,212,,,,,1250
DCI Career Institute,www.dci.edu,PA,,,,,,43,0,,,,,66,,,,,,
De Anza College,www.deanza.edu/,CA,,,13783,7843,,19482,1759,,,,,30817,,,,,,
De Wolff College Hair Styling and Cosmetology,www.dewolffinstitute.net,NM,,,,,,,,,,,,,,,,,,
Dean College,www.dean.edu,MA,58770,58770,42434,42434,83,1320,170,180,460,450,18,1595,31,,6,4,,235
Dean Institute of Technology,www.deantech.edu,PA,,,21600,21600,,146,44,,,,,152,,,,,,
Debutantes School of Cosmetology and Nail Technology,www.debschool.com,IL,,,,,,83,0,,,,,114,,,,,,
Defiance College,www.defiance.edu,OH,46720,46720,37700,37700,52,522,4,144,430,425,17,605,82,,17,4,,97
DeHart Technical School,www.deharttechnicalschool.com,CA,,,,,,65,0,,,,,80,,,,,,
Del Mar College,www.delmar.edu,TX,,,11364,10059,,11867,1177,,,,,15882,,,,,,
Delaware Chenango Madison Otsego BOCES-Practical Nursing Program,www.dcmoboces.com,NY,,,,,,17,0,,,,,,,,,,,
Delaware College of Art and Design,www.dcad.edu,DE,48380,48380,36730,36730,76,118,58,,,,,147,,,,,,
Delaware County Community College,www.dccc.edu,PA,,,22985,19455,,11314,1207,,,,,16794,,,,,,
Delaware County Technical School-Practical Nursing Program,www.dciu.org/site/default.aspx?PageID=1,PA,,,,,100,43,0,,,,,146,,,,,,
Delaware Learning Institute of Cosmetology,delawarecosmetology.com,DE,,,,,,49,0,,,,,84,,,,,,
Delaware State University,www.desu.edu,DE,32456,23420,24268,15232,49,4208,0,613,440,400,17,4282,283,118,294,13,65,465
Delaware Technical Community College-Central Office,https://www.dtcc.edu,DE,,,,,,,,,,,,,,,,,,
Delaware Technical Community College-Terry,https://www.dtcc.edu,DE,,,16978,10250,,13895,1636,0,,,,18681,882,122,119,,,1510
Delaware Valley University,www.delval.edu,PA,56580,56580,45830,45830,66,1982,7,398,490,480,19,2237,51,,241,,22,321
Delgado Community College,WWW.DCC.EDU,LA,,,14662,10373,,14258,1162,,,,,20393,,,,,,
Dell'Arte International School of Physical Theatre,www.dellarte.com/school,CA,,,15667,15667,,10,0,0,,,,23,,,,,,
Delmarva Beauty Academy,www.delmarvabeautyacademy.com/,MD,,,,,,52,0,,,,,81,,,,,,
Delta Beauty College,deltabeautyschool.com,MS,,,,,,15,0,,,,,27,,,,,,
Delta College,www.delta.edu,MI,,,16320,11250,,8080,971,,,,,11644,,,,,,
Delta College Inc,www.deltacollege.com,LA,,,,,,59,0,,,,,287,,,,,,
Delta College of Arts & Technology,www.deltacollege.com,LA,,,,,,252,3,,,,,410,,,,,,
Delta College of Arts & Technology-Lafayette Campus,www.deltacollege.com,LA,,,,,,123,0,,,,,323,,,,,,
Delta College-Slidell Campus,deltacollege.com,LA,,,,,,61,0,,,,,225,,,,,,
Delta Designs Cosmetology School,deltadesignscosmetologyschool.com,AR,,,,,,45,0,,,,,40,,,,,,
Delta School of Business and Technology,,LA,,,,,,,,,,,,,,,,,,
Delta State University,www.deltastate.edu,MS,20068,20068,12546,12546,85,3075,0,559,470,480,18,3755,502,,151,17,34,360
Delta Technical College,www.deltatechnicalcollege.com,MS,,,,,,688,0,,,,,1316,,,,,,
Denham Springs Beauty School,www.dsbeautyschool.org,LA,,,,,,77,0,,,,,112,,,,,,
Denison University,https://www.denison.edu,OH,66870,66870,54160,54160,34,2394,0,522,600,610,28,2376,68,,245,62,98,272
Denmark College,www.successbarberschool.com,IN,,,,,,155,0,,,,,203,,,,,,
