UniversityName,Website,State,CostOnCampusOutOfState,CostOnCampusInState,CostOffCampusOutOfState,CostOffCampusInState,PercentAdmitted,UndergradEnrollment,NumAssociate,NumBachelor,SATReadWrite,SATMath,ACTComposite,GrandTotalUndergrad,ProgramEducation,ProgramEngineering,ProgramScience,ProgramMath,ProgramPhysicalScience,ProgramBusiness
Adult and Community Education-Hudson,https://www.ccsoh.us/domain/197,OH,,,,,94,136,0,,,,,210,,,,,,
Adult and Continuing Education-BCTS,bcts.bergen.org/index.php/adult-ed-main-page,NJ,,,,,,70,0,,,,,114,,,,,,
Advance Beauty College,www.advancebeautycollege.com,CA,,,,,,487,0,,,,,830,,,,,,
Advance Beauty Techs Academy,www.abt.edu/,CA,,,,,,73,0,,,,,128,,,,,,
Advance Science International College,www.asicollege.edu,FL,,,,,,9,0,,,,,88,,,,,,
Advanced Barber College and Hair Design,abcrgv.com,TX,,,,,,165,0,,,,,291,,,,,,
Advanced Beauty College,www.advancedbeautycollege.net,TX,,,,,,44,0,,,,,63,,,,,,
Advanced Career Institute,www.advanced.edu,CA,,,,,,464,0,,,,,844,,,,,,
Advanced College,www.advancedcollege.edu,CA,,,,,,9,0,,,,,89,,,,,,
Advanced College of Cosmetology,www.accsuccess.com,WI,,,,,,27,0,,,,,29,,,,,,
Advanced College-Stockton,www.advancedcollege.edu,CA,,,,,,53,0,,,,,35,,,,,,
Advanced Technology Institute,www.auto.edu,VA,,,16986,16986,78,609,32,,,,,747,,,,,,
Advanced Training Associates,www.advancedtraining.edu,CA,,,,,,96,18,,,,,110,,,,,,
Advanced Training Institute,www.atitraining.com,NV,,,,,,669,0,,,,,811,,,,,,
Advanced Welding Institute,www.awi.edu,VT,,,,,,56,0,,,,,156,,,,,,
Advantage Career Institute,www.aci.edu,NJ,,,,,,104,0,,,,,316,,,,,,
AdventHealth University,www.ahu.edu,FL,25304,25304,19178,19178,87,1341,81,316,460,450,18,2038,7,,38,,,
Advertising Art Educational Services DBA School of Advertising Art,www.saa.edu,OH,,,32043,32043,91,210,52,,,,,216,,,,,,
Aesthetic Science Institute,www.aestheticscienceinstitute.edu,NY,,,,,,54,0,,,,,131,,,,,,
Agnes Scott College,www.agnesscott.edu,GA,55625,55625,43295,43295,70,996,0,189,,,,970,,,82,14,18,23
AI Miami International University of Art and Design,www.artinstitutes.edu/miami/,FL,,,23233,23233,,1342,82,340,,,,1818,,,,,,177
Aiken School of Cosmetology and Barbering,www.ascandb.com,SC,,,,,,65,0,,,,,87,,,,,,
Aiken Technical College,https://www.atc.edu,SC,,,11350,9516,,2267,254,,,,,3297,,,,,,
Aims Community College,www.aims.edu,CO,,,17001,9333,,6250,560,,,,,8436,,,,,,
Air Force Institute of Technology-Graduate School of Engineering & Management,www.afit.edu,OH,,,,,,0,0,0,,,,,,,,,,
Akron School of Practical Nursing,,OH,,,,,,,,,,,,,,,,,,
Alabama A & M University,www.aamu.edu/,AL,32072,23462,22944,14334,90,5143,0,507,430,420,16,5343,260,603,743,21,92,813
